T PL,H PL,verb,verb - main semantic class,verb - tense,verb - factive/nonfactive,complement - tense,T - negation,T - type of sentence,"GOLD <T,H>"
"Mówiło się, że nawet bili się na pięści.",nawet bili się na pięści.,"mówić, że_",mówienia,past,NF,past,False,indywidualne,N
"Ja jednak miałem w zanadrzu pisemko od lekarza akademickiej izolatki, który badał mnie zaraz po owej służbie wartowniczej i w pisemku swym zaświadczał, że miałem czterdzieści stopni gorączki - naprawdę miałem! - że nie bardzo rozumiałem, co do mnie wtedy mówiono ani co sam mówiłem i robiłem, i że nie powinienem był w takim stanie w ogóle pełnić żadnej służby. ",nie powinienem był w takim stanie w ogóle pełnić żadnej służby. ,"zaświadczać, że_",mówienia,past,NF,past,False,indywidualne,N
"Zalani łzami zgłaszamy się do punktów krwiodawstwa, oddajemy w ramach pomocy rzeczy, które już dawno przestały nam się podobać albo których kompletnie nie potrzebujemy, stuprocentowo pewni, że ofiarę kataklizmu najbardziej uraduje prawie chanelowski żakiecik, w który już się nie mieścimy.","ofiarę kataklizmu najbardziej uraduje prawie chanelowski żakiecik,","być pewnym, że_",epistemiczny,present,NF,future,False,reguła,N
"Ja rozumiem, że oni nie mogą należeć do partii politycznych.",oni nie mogą należeć do partii politycznych.,"rozumieć, że_",epistemiczny,present,F,present,False,indywidualne,E
"Jednak ludzie bardzo ciężko chorzy, gdy już czują, że medycyna też nie może im już pomóc, chcą skorzystać z tego sposobu leczenia.",medycyna też nie może im już pomóc,"[e] czuć, że_",epistemiczny,present,NF,present,False,reguła,N
"Wydaje się, że brutalizacja dnia powszedniego osiągnęła swoje apogeum.",brutalizacja dnia powszedniego osiągnęła swoje apogeum.,"wydaje się, że_",epistemiczny,present,NF,past,False,indywidualne,N
"Powiedział mi, że gdy taksówka przyjechała po niego, na liczniku już było 8,50 zł."," gdy taksówka przyjechała po niego, na liczniku już było 8,50 zł.","powiedzieć, że_",mówienia,past,NF,past,False,indywidualne,N
"Rozumiem, że jak jest propozycja, to się o niej dyskutuje.","jak jest propozycja, to się o niej dyskutuje.","rozumieć coś w jakis sposób, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Jednak zdarza się, że bardzo agresywni ludzie świetnie sobie radzą.", bardzo agresywni ludzie świetnie sobie radzą.,"zdarzać się, że_",inne,present,NF,present,False,indywidualne,E
"Właściciele narzekali, że przez alarm bombowy i blokadę Piotrkowskiej stracą klientów i pieniądze. ",przez alarm bombowy i blokadę Piotrkowskiej stracą klientów i pieniądze. ,"narzekać, że_",mówienia,past,NF,future,False,indywidualne,N
"Okazuje się poza tym, że szanse powodzenia będą mieć zwłaszcza ci kandydaci, które odznaczają się... starannością w piśmie.","szanse powodzenia będą mieć zwłaszcza ci kandydaci, które odznaczają się... starannością w piśmie","okazywać się, że_",inne,present,NF,future,False,indywidualne,E
"Domyśliłem się, że należał kiedyś do Piastowego, ale po tym, jak zmuszony był przesiąść się na wózek, odstawiono go na bocznicę, by nauczyciel mógł bez przeszkód zajmować miejsce naprzeciwko telewizora.","należał kiedyś do Piastowego,","domyślić się, że_",epistemiczny,past,F,past,False,indywidualne,E
"Benedyktyn Mateusz Paris (ok. 1200-1259) wspomniał, że po otwarciu grobu hrabiego Pembroke w 1240 roku okazało się, że jego zwłoki znajdują się w stanie daleko posuniętego rozkładu i obrzydliwie śmierdzą, i uznał to za dowód jego wielkiej grzeszności za życia. "," po otwarciu grobu hrabiego Pembroke w 1240 roku okazało się, że jego zwłoki znajdują się w stanie daleko posuniętego rozkładu i obrzydliwie śmierdzą","wspomnieć, że2_",mówienia,past,NF,past,False,indywidualne,N
"Tłumaczą, że koliduje im to z zajęciami, że dzieci straciłyby lekcje. ",dzieci straciłyby lekcje. ,"tłumaczyć, że_",mówienia,present,NF,inne,False,indywidualne,N
"Przypominam, że Komisja Praw Człowieka i Praworządności przedstawiła projekt uchwały, w którym wnosiła o przyjęcie tej ustawy bez poprawek.","Komisja Praw Człowieka i Praworządności przedstawiła projekt uchwały, w którym wnosiła o przyjęcie tej ustawy bez poprawek.","przypominać komuś, że_",mówienia,present,F,past,False,performatyw,E
"Powtarzające się pogłoski o niedalekiej już próbie przejęcia tego banku przez któregoś z zagranicznych gigantów sprawiły, że popyt na akcje BIG BG znów nie został zaspokojony. ",popyt na akcje BIG BG znów nie został zaspokojony. ,"sprawić, że_",inne,past,NF,past,False,indywidualne,E
"Pewnie łatwo będzie pokazać, że mamy z czego razem być dumni.",mamy z czego razem być dumni.,"pokazać, że_",mówienia,future,F,present,False,indywidualne,E
"Opozycja ogłosiła więc, że zwolnienia mają charakter politycznej czystki, a do pracy wracają esbecy. "," zwolnienia mają charakter politycznej czystki,","ogłosić, że_",mówienia,past,NF,present,False,indywidualne,N
"Po prostu czuję, że powinienem zgnić w kryminale i jestem z tego dumny.",powinienem zgnić w kryminale,"[e] czuć, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Portrety malarskie i rzeźbiarskie pokazane na Wystawie Ogólnopolskiej jak i portrety, które mogliśmy oglądać na wystawach przodowników pracy, świadczą, że plastykom nie udało się dotychczas wyłamać z mieszczańskiej konwencji izolowania i neutralizowania jednostki ludzkiej, że nie potrafią jeszcze pokazać jej w konkretnej sytuacji, w konkretnym powiązaniu z otoczeniem, że wciąż jeszcze ciąży nad nimi dziedzictwo portretu reprezentacyjnego, pełnego sztuczności i nudy.","wciąż jeszcze ciąży nad nimi dziedzictwo portretu reprezentacyjnego, pełnego sztuczności i nudy.","świadczyć, że_",epistemiczny,present,NF,present,False,indywidualne,N
"W szkole liczą, że może starostwo dołoży parę groszy i w ten sposób uda się zatrudnić pielęgniarkę na stałe", może starostwo dołoży parę groszy i w ten sposób uda się zatrudnić pielęgniarkę na stałe,"liczyć, że_",epistemiczny,present,NF,future,False,indywidualne,N
"Myślę, że jeżeli taka propozycja została skierowana, to zdaje się, wynikła z tego, że tym się ostatnio, niestety, prezesi zajmowali, zamiast porządkować działalność ubezpieczeniową swojej firmy."," jeżeli taka propozycja została skierowana, to zdaje się, wynikła z tego, że tym się ostatnio, niestety, prezesi zajmowali, ","myśleć, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Wie, że nie był, nie jest i już nie będzie wirtuozem.","nie był, nie jest i już nie będzie wirtuozem.","wiedzieć, że_",epistemiczny,present,F,inne,False,indywidualne,E
